,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
1,James Justin,eng ENG,DF,24-278,14,14,1252.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.02,0.02,0.05,0.02,0.05,Matches,Leicester-City
2,Youri Tielemans,be BEL,MF,25-205,15,14,1165.0,12.9,3.0,1.0,2.0,1.0,2.0,1.0,0.0,0.23,0.08,0.31,0.15,0.23,2.0,0.4,2.4,2.8,0.15,0.18,0.34,0.03,0.21,Matches,Leicester-City
3,Kiernan Dewsbury-Hall,eng ENG,MF,24-083,15,14,1134.0,12.6,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.08,0.16,0.24,0.08,0.24,0.7,0.7,2.1,2.8,0.05,0.17,0.22,0.05,0.22,Matches,Leicester-City
4,Timothy Castagne,be BEL,DF,26-358,14,13,1191.0,13.2,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.08,0.15,0.23,0.08,0.23,1.4,1.4,1.1,2.5,0.1,0.08,0.19,0.1,0.19,Matches,Leicester-City
5,James Maddison,eng ENG,"MF,FW",26-005,13,13,1098.0,12.2,7.0,4.0,7.0,0.0,0.0,5.0,0.0,0.57,0.33,0.9,0.57,0.9,2.6,2.6,2.9,5.4,0.21,0.24,0.45,0.21,0.45,Matches,Leicester-City
6,Harvey Barnes,eng ENG,MF,24-354,13,13,1086.0,12.1,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,3.5,3.5,0.6,4.1,0.29,0.05,0.34,0.29,0.34,Matches,Leicester-City
7,Daniel Amartey,gh GHA,DF,27-342,12,10,915.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,0.01,0.05,0.06,0.01,0.06,Matches,Leicester-City
8,Jonny Evans,nir NIR,DF,34-329,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.02,0.0,0.02,0.02,0.02,Matches,Leicester-City
9,Wout Faes,be BEL,DF,24-239,9,9,810.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.04,0.03,0.07,0.04,0.07,Matches,Leicester-City
10,Boubakary Soumaré,fr FRA,MF,23-274,11,9,668.0,7.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.02,0.0,0.02,Matches,Leicester-City
11,Jamie Vardy,eng ENG,FW,35-321,15,8,751.0,8.3,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.12,0.48,0.6,0.12,0.6,2.1,2.1,0.4,2.5,0.25,0.05,0.3,0.25,0.3,Matches,Leicester-City
12,Patson Daka,zm ZAM,FW,24-050,14,7,642.0,7.1,3.0,2.0,3.0,0.0,0.0,2.0,0.0,0.42,0.28,0.7,0.42,0.7,2.3,2.3,1.8,4.2,0.32,0.26,0.58,0.32,0.58,Matches,Leicester-City
13,Wilfred Ndidi,ng NGA,"MF,DF",25-347,10,7,638.0,7.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches,Leicester-City
14,Luke Thomas,eng ENG,DF,21-171,4,3,273.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City
15,Dennis Praet,be BEL,MF,28-198,7,2,266.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.07,0.0,0.07,0.07,0.07,Matches,Leicester-City
16,Wesley Fofana,fr FRA,DF,21-346,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.06,0.0,0.06,0.06,0.06,Matches,Leicester-City
17,Kelechi Iheanacho,ng NGA,"FW,MF",26-056,10,1,219.0,2.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.41,0.41,0.82,0.41,0.82,1.5,1.5,0.6,2.1,0.61,0.24,0.85,0.61,0.85,Matches,Leicester-City
18,Ayoze Pérez,es ESP,MF,29-122,5,1,148.0,1.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,0.61,0.0,0.61,0.4,0.4,1.2,1.5,0.21,0.7,0.91,0.21,0.91,Matches,Leicester-City
19,Çağlar Söyüncü,tr TUR,DF,26-189,1,1,71.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leicester-City
20,Nampalys Mendy,sn SEN,MF,30-158,6,0,152.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.06,0.0,0.06,0.06,0.06,Matches,Leicester-City
21,Marc Albrighton,eng ENG,MF,33-010,3,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches,Leicester-City
22,Sammy Braybroke,mx MEX,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
23,Samuel Braybrooke,eng ENG,MF,18-261,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
24,Lewis Brunt,eng ENG,DF,22-022,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
25,Daniel Iversen,dk DEN,GK,25-132,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
26,Jannik Vestergaard,dk DEN,DF,30-117,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
27,Joe Wormleighton,,MF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leicester-City
28,Squad Total,,,26.9,15,165,1350.0,15.0,23.0,17.0,22.0,1.0,2.0,19.0,0.0,1.53,1.13,2.67,1.47,2.6,17.6,16.0,14.2,30.2,1.17,0.95,2.12,1.07,2.01,,Leicester-City
29,Opponent Total,,,26.8,15,165,1350.0,15.0,24.0,17.0,23.0,1.0,1.0,25.0,1.0,1.6,1.13,2.73,1.53,2.67,22.2,21.5,17.2,38.7,1.48,1.15,2.63,1.44,2.58,,Leicester-City
0,Jefferson Lerma,co COL,"MF,DF",28-034,15,15,1350.0,15.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.13,0.0,0.13,0.13,0.13,1.2,1.2,0.3,1.5,0.08,0.02,0.1,0.08,0.1,Matches,Bournemouth
1,Adam Smith,eng ENG,DF,31-213,15,15,1305.0,14.5,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.07,0.07,0.0,0.07,0.4,0.4,0.4,0.8,0.03,0.03,0.06,0.03,0.06,Matches,Bournemouth
2,Marcus Tavernier,eng ENG,"MF,FW",23-251,15,15,1283.0,14.3,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.14,0.28,0.42,0.14,0.42,1.7,1.7,2.2,3.8,0.12,0.15,0.27,0.12,0.27,Matches,Bournemouth
3,Chris Mepham,wls WAL,DF,25-023,14,14,1251.0,13.9,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches,Bournemouth
4,Lewis Cook,eng ENG,MF,25-298,15,13,1193.0,13.3,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.15,0.15,0.0,0.15,0.1,0.1,2.0,2.1,0.01,0.15,0.16,0.01,0.16,Matches,Bournemouth
5,Philip Billing,dk DEN,"MF,FW",26-170,15,13,1133.0,12.6,4.0,1.0,4.0,0.0,0.0,1.0,0.0,0.32,0.08,0.4,0.32,0.4,1.2,1.2,1.2,2.5,0.1,0.1,0.2,0.1,0.2,Matches,Bournemouth
6,Dominic Solanke,eng ENG,"FW,MF",25-075,13,12,1071.0,11.9,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.5,2.4,2.4,1.1,3.5,0.2,0.09,0.29,0.2,0.29,Matches,Bournemouth
7,Marcos Senesi,ar ARG,DF,25-202,12,11,939.0,10.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches,Bournemouth
8,Jordan Zemura,zw ZIM,DF,23-014,11,9,788.0,8.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.9,0.9,0.0,0.1,0.1,0.0,0.1,Matches,Bournemouth
9,Ryan Christie,sct SCO,"MF,FW",27-279,13,9,718.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13,0.0,0.13,0.13,0.13,1.3,1.3,0.3,1.6,0.16,0.04,0.21,0.16,0.21,Matches,Bournemouth
10,Kieffer Moore,wls WAL,FW,30-112,15,8,750.0,8.3,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,2.0,2.0,0.3,2.3,0.25,0.03,0.28,0.25,0.28,Matches,Bournemouth
11,Neto,br BRA,GK,33-132,8,8,675.0,7.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
12,Mark Travers,ie IRL,GK,23-194,8,7,675.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
13,Ryan Fredericks,eng ENG,DF,30-049,8,5,451.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02,Matches,Bournemouth
14,Lloyd Kelly,eng ENG,DF,24-053,5,5,450.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0.1,0.1,0.0,0.03,0.03,0.0,0.03,Matches,Bournemouth
15,Ben Pearson,eng ENG,MF,27-328,5,3,214.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Bournemouth
16,Jaidon Anthony,eng ENG,"FW,MF",22-362,10,1,272.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.66,0.0,0.66,0.66,0.66,0.9,0.9,0.1,1.0,0.29,0.02,0.32,0.29,0.32,Matches,Bournemouth
17,Jack Stacey,eng ENG,DF,26-236,6,1,134.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.06,0.0,0.06,0.06,0.06,Matches,Bournemouth
18,Jack Stephens,eng ENG,DF,28-305,3,1,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.13,0.13,0.0,0.13,Matches,Bournemouth
19,Junior Stanislas,eng ENG,MF,33-002,4,0,61.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.05,0.19,0.25,0.05,0.25,Matches,Bournemouth
20,Joe Rothwell,eng ENG,"MF,DF",27-321,2,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
21,Owen Bevan,wls WAL,DF,19-033,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
22,Emiliano Marcondes,dk DEN,MF,27-264,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
23,Siriki Dembélé,ci CIV,FW,26-082,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
24,Jamal Lowe,jm JAM,FW,28-130,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
25,Will Dennis,eng ENG,GK,22-141,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
26,James Hill,eng ENG,DF,20-322,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
27,Cameron Plain,eng ENG,GK,20-000,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
28,Christian Saydee,lr LBR,MF,20-202,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
29,Squad Total,,,26.8,15,165,1350.0,15.0,18.0,14.0,18.0,0.0,0.0,24.0,0.0,1.2,0.93,2.13,1.2,2.13,11.6,11.6,9.5,21.1,0.77,0.63,1.4,0.77,1.4,,Bournemouth
30,Opponent Total,,,27.0,15,165,1350.0,15.0,30.0,19.0,25.0,5.0,5.0,22.0,0.0,2.0,1.27,3.27,1.67,2.93,24.2,20.3,15.8,36.0,1.61,1.05,2.66,1.35,2.4,,Bournemouth
0,Illan Meslier,fr FRA,GK,22-271,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leeds-United
1,Robin Koch,de GER,DF,26-134,14,14,1215.0,13.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.02,0.0,0.02,0.02,0.02,Matches,Leeds-United
2,Brenden Aaronson,us USA,"MF,FW",22-037,14,14,1189.0,13.2,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.08,0.15,0.23,0.08,0.23,1.9,1.9,2.9,4.8,0.14,0.22,0.36,0.14,0.36,Matches,Leeds-United
3,Marc Roca,es ESP,MF,26-002,14,14,1031.0,11.5,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.09,0.09,0.17,0.09,0.17,0.9,0.9,0.5,1.3,0.08,0.04,0.12,0.08,0.12,Matches,Leeds-United
4,Tyler Adams,us USA,MF,23-287,13,13,1166.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.07,0.07,0.0,0.07,Matches,Leeds-United
5,Pascal Struijk,nl NED,DF,23-109,13,13,1164.0,12.9,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.08,0.08,0.15,0.08,0.15,0.9,0.9,2.3,3.2,0.07,0.18,0.25,0.07,0.25,Matches,Leeds-United
6,Rasmus Nissen,dk DEN,DF,25-140,12,12,1048.0,11.6,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.09,0.09,0.0,0.09,0.4,0.4,0.8,1.1,0.03,0.07,0.1,0.03,0.1,Matches,Leeds-United
7,Jack Harrison,eng ENG,"FW,MF",26-008,13,12,937.0,10.4,1.0,3.0,1.0,0.0,0.0,2.0,0.0,0.1,0.29,0.38,0.1,0.38,1.3,1.3,1.9,3.2,0.13,0.19,0.31,0.13,0.31,Matches,Leeds-United
8,Rodrigo,es ESP,"FW,MF",31-267,13,12,886.0,9.8,9.0,1.0,8.0,1.0,1.0,1.0,0.0,0.91,0.1,1.02,0.81,0.91,5.4,4.7,1.2,5.9,0.55,0.12,0.68,0.47,0.6,Matches,Leeds-United
9,Liam Cooper,sct SCO,DF,31-090,8,7,675.0,7.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.13,0.0,0.13,0.13,0.13,0.4,0.4,0.4,0.8,0.06,0.06,0.11,0.06,0.11,Matches,Leeds-United
10,Diego Llorente,es ESP,DF,29-104,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.7,0.1,0.0,0.1,0.1,0.1,Matches,Leeds-United
11,Luis Sinisterra,co COL,FW,23-164,9,6,453.0,5.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,0.4,0.0,0.4,0.4,0.4,1.5,1.5,0.2,1.7,0.29,0.04,0.34,0.29,0.34,Matches,Leeds-United
12,Crysencio Summerville,nl NED,"FW,MF",21-029,10,4,473.0,5.3,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.76,0.0,0.76,0.76,0.76,1.5,1.5,0.3,1.8,0.29,0.05,0.34,0.29,0.34,Matches,Leeds-United
13,Patrick Bamford,eng ENG,FW,29-084,10,4,429.0,4.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,4.1,3.3,0.3,3.6,0.86,0.06,0.93,0.7,0.76,Matches,Leeds-United
14,Daniel James,wls WAL,FW,25-018,4,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.12,0.15,0.27,0.12,0.27,Matches,Leeds-United
15,Sam Greenwood,eng ENG,"MF,FW",20-306,6,1,188.0,2.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48,0.48,0.96,0.48,0.96,0.5,0.5,0.3,0.8,0.24,0.15,0.39,0.24,0.39,Matches,Leeds-United
16,Joe Gelhardt,eng ENG,FW,20-208,11,1,169.0,1.9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.53,0.53,0.0,0.53,0.7,0.7,0.1,0.8,0.35,0.07,0.42,0.35,0.42,Matches,Leeds-United
17,Luke Ayling,eng ENG,DF,31-095,7,1,159.0,1.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57,0.2,0.2,0.1,0.3,0.09,0.07,0.16,0.09,0.16,Matches,Leeds-United
18,Junior Firpo,es ESP,DF,26-098,2,1,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,Matches,Leeds-United
19,Degnand Gnonto,it ITA,"FW,MF",19-023,3,1,109.0,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.83,0.0,0.83,0.0,0.0,0.6,0.6,0.0,0.5,0.5,0.0,0.5,Matches,Leeds-United
20,Cody Drameh,eng ENG,DF,20-355,1,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leeds-United
21,Mateusz Klich,pl POL,"MF,FW",32-168,11,0,199.0,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.06,0.09,0.15,0.06,0.15,Matches,Leeds-United
22,Adam Forshaw,eng ENG,MF,31-051,3,0,50.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.79,0.79,0.0,0.79,Matches,Leeds-United
23,Mateo Fernández,es ESP,MF,19-040,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leeds-United
24,Leo Fuhr Hjelde,no NOR,DF,19-094,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leeds-United
25,Archie Gray,eng ENG,MF,16-261,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leeds-United
26,Darko Gyabi,eng ENG,MF,18-283,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leeds-United
27,Kristoffer Klaesson,no NOR,GK,22-001,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leeds-United
28,Sonny Perkins,eng ENG,FW,18-291,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leeds-United
29,Joel Robles,es ESP,GK,32-164,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leeds-United
30,Squad Total,,,25.5,14,154,1260.0,14.0,21.0,14.0,20.0,1.0,2.0,29.0,2.0,1.5,1.0,2.5,1.43,2.43,20.3,18.8,13.5,32.2,1.45,0.96,2.42,1.34,2.3,,Leeds-United
31,Opponent Total,,,26.8,14,154,1260.0,14.0,25.0,16.0,24.0,1.0,1.0,24.0,1.0,1.79,1.14,2.93,1.71,2.86,20.2,19.5,15.7,35.2,1.44,1.12,2.56,1.39,2.51,,Leeds-United
0,Declan Rice,eng ENG,MF,23-318,15,15,1350.0,15.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.07,0.07,0.13,0.07,0.13,1.4,0.6,1.8,2.4,0.09,0.12,0.21,0.04,0.16,Matches,West-Ham-United
1,Jarrod Bowen,eng ENG,FW,25-343,15,15,1340.0,14.9,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.13,0.0,0.13,0.07,0.07,4.3,3.2,1.9,5.1,0.29,0.13,0.41,0.22,0.34,Matches,West-Ham-United
2,Tomáš Souček,cz CZE,MF,27-274,15,15,1307.0,14.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.07,0.07,0.14,0.07,0.14,2.5,2.5,0.6,3.1,0.17,0.04,0.21,0.17,0.21,Matches,West-Ham-United
3,Łukasz Fabiański,pl POL,GK,37-224,15,15,1243.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,West-Ham-United
4,Aaron Cresswell,eng ENG,DF,32-348,14,14,1240.0,13.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.5,2.7,0.02,0.18,0.2,0.02,0.2,Matches,West-Ham-United
5,Kurt Zouma,fr FRA,DF,28-032,14,14,1184.0,13.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,1.1,1.1,0.0,1.1,0.08,0.0,0.08,0.08,0.08,Matches,West-Ham-United
6,Thilo Kehrer,de GER,DF,26-068,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.6,0.03,0.02,0.04,0.03,0.04,Matches,West-Ham-United
7,Pablo Fornals,es ESP,"FW,MF",26-279,14,9,776.0,8.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,0.6,0.6,1.0,1.6,0.07,0.12,0.18,0.07,0.18,Matches,West-Ham-United
8,Gianluca Scamacca,it ITA,FW,23-331,13,9,755.0,8.4,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.24,0.0,0.24,0.24,0.24,2.1,2.1,0.6,2.7,0.25,0.08,0.33,0.25,0.33,Matches,West-Ham-United
9,Saïd Benrahma,dz ALG,"FW,MF",27-110,13,7,751.0,8.3,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.24,0.12,0.36,0.12,0.24,2.4,1.6,1.1,2.7,0.29,0.13,0.41,0.19,0.32,Matches,West-Ham-United
10,Vladimír Coufal,cz CZE,"DF,MF",30-098,9,7,685.0,7.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,0.01,0.08,0.1,0.01,0.1,Matches,West-Ham-United
11,Lucas Paquetá,br BRA,"MF,FW",25-093,8,7,587.0,6.5,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.31,0.31,0.0,0.31,1.3,1.3,0.6,1.9,0.2,0.09,0.3,0.2,0.3,Matches,West-Ham-United
12,Michail Antonio,jm JAM,FW,32-245,14,6,607.0,6.7,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.3,0.15,0.44,0.3,0.44,2.0,2.0,0.4,2.4,0.3,0.06,0.36,0.3,0.36,Matches,West-Ham-United
13,Ben Johnson,eng ENG,DF,22-308,7,6,488.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.03,0.03,0.0,0.03,Matches,West-Ham-United
14,Craig Dawson,eng ENG,DF,32-206,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.02,0.04,0.02,0.04,Matches,West-Ham-United
15,Flynn Downes,eng ENG,MF,23-312,6,3,265.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.3,0.08,0.02,0.1,0.08,0.1,Matches,West-Ham-United
16,Emerson Palmieri,it ITA,"DF,MF",28-117,7,3,224.0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,West-Ham-United
17,Manuel Lanzini,ar ARG,"MF,FW",29-286,5,1,126.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.04,0.0,0.04,0.04,0.04,Matches,West-Ham-United
18,Maxwel Cornet,ci CIV,FW,26-062,5,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.53,0.0,0.53,0.53,0.53,Matches,West-Ham-United
19,Alphonse Areola,fr FRA,GK,29-274,2,0,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,West-Ham-United
20,Nayef Aguerd,ma MAR,DF,26-243,1,0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.07,0.06,0.12,0.07,0.12,Matches,West-Ham-United
21,Angelo Ogbonna,it ITA,DF,34-189,2,0,27.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.39,0.39,0.0,0.39,Matches,West-Ham-United
