,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
17,Oliver Skipp,eng ENG,MF,22-073,6,2,130.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.04,0.17,0.21,0.04,0.21,Matches,Tottenham-Hotspur
18,Lucas Moura,br BRA,"MF,DF",30-107,8,0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.08,0.04,0.12,0.08,0.12,Matches,Tottenham-Hotspur
19,Bryan,es ESP,MF,21-290,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Tottenham-Hotspur
20,Djed Spence,eng ENG,"DF,MF",22-111,3,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.45,0.0,1.45,1.45,1.45,Matches,Tottenham-Hotspur
21,Fraser Forster,eng ENG,GK,34-256,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
22,Pape Matar Sarr,sn SEN,MF,20-075,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
23,Japhet Tanganga,eng ENG,DF,23-242,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
24,Harvey White,eng ENG,MF,21-070,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches,Tottenham-Hotspur
25,Squad Total,,,28.2,15,165,1350.0,15.0,29.0,21.0,27.0,2.0,3.0,26.0,1.0,1.93,1.4,3.33,1.8,3.2,24.1,21.8,17.8,39.6,1.61,1.19,2.8,1.45,2.64,,Tottenham-Hotspur
26,Opponent Total,,,26.9,15,165,1350.0,15.0,21.0,16.0,20.0,1.0,1.0,33.0,1.0,1.4,1.07,2.47,1.33,2.4,16.5,15.8,11.8,27.6,1.1,0.79,1.89,1.05,1.84,,Tottenham-Hotspur
0,David de Gea,es ESP,GK,32-021,14,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Matches,Manchester-United
1,Lisandro Martínez,ar ARG,DF,24-314,14,14,1204.0,13.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches,Manchester-United
2,Bruno Fernandes,pt POR,"MF,FW",28-081,13,13,1169.0,13.0,2.0,1.0,2.0,0.0,0.0,5.0,0.0,0.15,0.08,0.23,0.15,0.23,2.0,2.0,3.2,5.2,0.15,0.25,0.4,0.15,0.4,Matches,Manchester-United
3,Diogo Dalot,pt POR,DF,23-255,13,13,1165.0,12.9,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.08,0.08,0.0,0.08,0.6,0.6,1.3,1.9,0.05,0.1,0.15,0.05,0.15,Matches,Manchester-United
4,Marcus Rashford,eng ENG,FW,25-028,14,13,1126.0,12.5,4.0,2.0,4.0,0.0,0.0,1.0,0.0,0.32,0.16,0.48,0.32,0.48,4.2,4.2,2.0,6.2,0.33,0.16,0.49,0.33,0.49,Matches,Manchester-United
5,Christian Eriksen,dk DEN,MF,30-287,13,12,1043.0,11.6,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.09,0.35,0.43,0.09,0.43,2.4,2.4,1.8,4.2,0.21,0.15,0.36,0.21,0.36,Matches,Manchester-United
6,Jadon Sancho,eng ENG,FW,22-248,10,10,714.0,7.9,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.25,0.13,0.38,0.25,0.38,1.6,1.6,0.8,2.5,0.21,0.1,0.31,0.21,0.31,Matches,Manchester-United
7,Luke Shaw,eng ENG,DF,27-139,10,9,783.0,8.7,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11,0.11,0.0,0.11,0.2,0.2,1.4,1.6,0.02,0.17,0.19,0.02,0.19,Matches,Manchester-United
8,Raphaël Varane,fr FRA,DF,29-217,10,8,684.0,7.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.02,Matches,Manchester-United
9,Casemiro,br BRA,MF,30-278,11,7,712.0,7.9,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.13,0.13,0.25,0.13,0.25,0.5,0.5,0.8,1.3,0.06,0.1,0.16,0.06,0.16,Matches,Manchester-United
10,Scott McTominay,sct SCO,MF,25-355,12,6,640.0,7.1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,0.1,0.03,0.13,0.1,0.13,Matches,Manchester-United
11,Tyrell Malacia,nl NED,DF,23-103,9,6,567.0,6.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Manchester-United
12,Antony,br BRA,"FW,MF",22-277,6,6,491.0,5.5,3.0,0.0,3.0,0.0,0.0,1.0,0.0,0.55,0.0,0.55,0.55,0.55,1.6,1.6,0.4,2.0,0.3,0.07,0.37,0.3,0.37,Matches,Manchester-United
13,Anthony Elanga,se SWE,FW,20-215,10,5,369.0,4.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,0.5,0.5,0.8,1.3,0.12,0.2,0.32,0.12,0.32,Matches,Manchester-United
14,Cristiano Ronaldo,pt POR,FW,37-296,10,4,525.0,5.8,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.17,0.0,0.17,0.17,0.17,1.9,1.9,0.4,2.3,0.32,0.07,0.4,0.32,0.4,Matches,Manchester-United
15,Fred,br BRA,MF,29-268,11,4,398.0,4.4,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.23,0.0,0.23,0.23,0.23,0.8,0.8,0.8,1.6,0.18,0.17,0.35,0.18,0.35,Matches,Manchester-United
16,Victor Lindelöf,se SWE,DF,28-134,5,3,352.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Manchester-United
17,Harry Maguire,eng ENG,DF,29-268,4,3,281.0,3.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.07,0.01,0.08,0.07,0.08,Matches,Manchester-United
